Tick 10_6 attacks 1_9 with 49100, killing 3 units
0_7 attacks 1_1 with 91008, killing 1 units
1_8 attacks 0_1 with 22100, killing 3 units
1_1 attacks 0_2 with 187264, killing 20 units
0_5 attacks 1_8 with 41594, killing 2 units
1_2 attacks 0_4 with 43260, killing 4 units
0_4 attacks 1_3 with 180336, killing 4 units
0_8 attacks 1_2 with 198768, killing 7 units
1_4 attacks 0_6 with 31896, killing 5 units
0_1 attacks 1_7 with 110176, killing 3 units
1_5 attacks 0_9 with 168240, killing 23 units
0_3 attacks 1_4 with 185560, killing 8 units
0_9 attacks 1_5 with 69712, killing 1 units
1_3 attacks 0_7 with 173264, killing 18 units
1_9 attacks 0_0 with 29580, killing 3 units
0_2 attacks 1_6 with 64080, killing 1 units
1_7 attacks 0_8 with 58854, killing 5 units
0_0 attacks 1_0 with 87912, killing 1 units
1_0 attacks 0_3 with 181018, killing 18 units
1_6 attacks 0_5 with 157284, killing 34 units
Tick 20_6 attacks 1_9 with 49000, killing 3 units
0_7 attacks 1_1 with 90144, killing 1 units
1_8 attacks 0_1 with 22092, killing 3 units
1_1 attacks 0_2 with 187220, killing 20 units
0_5 attacks 1_8 with 41118, killing 2 units
1_2 attacks 0_4 with 42840, killing 4 units
0_4 attacks 1_3 with 180128, killing 4 units
0_8 attacks 1_2 with 195488, killing 7 units
1_4 attacks 0_6 with 31608, killing 4 units
0_1 attacks 1_7 with 110128, killing 3 units
1_5 attacks 0_9 with 168180, killing 23 units
0_3 attacks 1_4 with 185200, killing 8 units
0_9 attacks 1_5 with 69344, killing 1 units
1_3 attacks 0_7 with 172872, killing 18 units
1_9 attacks 0_0 with 29535, killing 3 units
0_2 attacks 1_6 with 63920, killing 1 units
1_7 attacks 0_8 with 58752, killing 5 units
0_0 attacks 1_0 with 87813, killing 1 units
1_0 attacks 0_3 with 180960, killing 18 units
1_6 attacks 0_5 with 157266, killing 34 units
Tick 30_6 attacks 1_9 with 48920, killing 3 units
0_7 attacks 1_1 with 89280, killing 1 units
1_8 attacks 0_1 with 22084, killing 3 units
1_1 attacks 0_2 with 187176, killing 20 units
0_5 attacks 1_8 with 40642, killing 2 units
1_2 attacks 0_4 with 42420, killing 4 units
0_4 attacks 1_3 with 179920, killing 4 units
0_8 attacks 1_2 with 192208, killing 7 units
1_4 attacks 0_6 with 31320, killing 4 units
0_1 attacks 1_7 with 110080, killing 3 units
1_5 attacks 0_9 with 168120, killing 23 units
0_3 attacks 1_4 with 184840, killing 8 units
0_9 attacks 1_5 with 68976, killing 1 units
1_3 attacks 0_7 with 172480, killing 18 units
1_9 attacks 0_0 with 29490, killing 3 units
0_2 attacks 1_6 with 63760, killing 1 units
1_7 attacks 0_8 with 58650, killing 5 units
0_0 attacks 1_0 with 87714, killing 1 units
1_0 attacks 0_3 with 180902, killing 18 units
1_6 attacks 0_5 with 157248, killing 34 units
Tick 40_6 attacks 1_9 with 48840, killing 3 units
0_7 attacks 1_1 with 88416, killing 1 units
1_8 attacks 0_1 with 22076, killing 3 units
1_1 attacks 0_2 with 187132, killing 20 units
0_5 attacks 1_8 with 40166, killing 2 units
1_2 attacks 0_4 with 42000, killing 4 units
0_4 attacks 1_3 with 179712, killing 3 units
0_8 attacks 1_2 with 188928, killing 7 units
1_4 attacks 0_6 with 31032, killing 4 units
0_1 attacks 1_7 with 110032, killing 3 units
1_5 attacks 0_9 with 168060, killing 23 units
0_3 attacks 1_4 with 184480, killing 8 units
0_9 attacks 1_5 with 68608, killing 1 units
1_3 attacks 0_7 with 172186, killing 18 units
1_9 attacks 0_0 with 29445, killing 3 units
0_2 attacks 1_6 with 63600, killing 1 units
1_7 attacks 0_8 with 58548, killing 5 units
0_0 attacks 1_0 with 87615, killing 1 units
1_0 attacks 0_3 with 180844, killing 18 units
1_6 attacks 0_5 with 157230, killing 34 units
Tick 50_6 attacks 1_6 with 97520, killing 2 units
0_7 attacks 1_5 with 87552, killing 1 units
1_8 attacks 0_1 with 22068, killing 3 units
1_1 attacks 0_2 with 187132, killing 20 units
0_5 attacks 1_9 with 39690, killing 2 units
1_2 attacks 0_4 with 41580, killing 4 units
0_4 attacks 1_3 with 179504, killing 3 units
0_8 attacks 1_2 with 185648, killing 7 units
1_4 attacks 0_6 with 30744, killing 4 units
